               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023704,           0.0078498,            0.035955,             0.61379,               0.733,             0.64768,              0.5053,            0.022247,           0.0032687,            0.037045,           0.0071125,           0.0071125,           0.0071125
                  37,            0.024275,           0.0080914,            0.035092,             0.66316,             0.66428,             0.67332,             0.52363,             0.02343,           0.0033745,            0.037492,             0.00703,             0.00703,             0.00703
                  38,            0.023178,           0.0081933,             0.03496,             0.60566,             0.80572,             0.70383,             0.56234,            0.022861,            0.003352,            0.034939,           0.0069475,           0.0069475,           0.0069475
                  39,            0.022649,           0.0076616,            0.033957,             0.56601,             0.81679,             0.68281,             0.54814,            0.022937,           0.0032984,            0.035988,            0.006865,            0.006865,            0.006865
                  40,             0.02269,            0.007808,            0.035097,              0.7506,             0.72223,             0.72023,             0.58473,             0.02157,           0.0033281,            0.034296,           0.0067825,           0.0067825,           0.0067825
                  41,            0.023092,           0.0076957,            0.033336,             0.60754,             0.82543,             0.73221,             0.57063,            0.022088,           0.0034464,            0.032565,              0.0067,              0.0067,              0.0067
                  42,            0.022034,           0.0077687,            0.032895,             0.62198,             0.78793,             0.75792,             0.61013,            0.020722,           0.0032361,            0.031712,           0.0066175,           0.0066175,           0.0066175
                  43,            0.022993,           0.0078683,            0.031309,             0.72706,             0.73037,             0.72058,             0.58202,            0.020913,            0.003309,            0.033034,            0.006535,            0.006535,            0.006535
                  44,            0.022902,           0.0078309,            0.031023,             0.63498,             0.81787,             0.73164,             0.59472,            0.023383,           0.0034175,            0.032643,           0.0064525,           0.0064525,           0.0064525
                  45,            0.023256,           0.0078402,            0.032012,             0.64124,             0.78365,             0.75796,             0.59823,             0.02066,           0.0032752,            0.030304,             0.00637,             0.00637,             0.00637
                  46,            0.023052,           0.0078556,            0.033134,             0.61358,             0.83023,             0.76505,             0.61857,            0.021293,           0.0033182,            0.030628,           0.0062875,           0.0062875,           0.0062875
                  47,            0.022129,           0.0080235,            0.030178,              0.6233,             0.87709,             0.78207,              0.6186,            0.021008,           0.0031738,            0.029961,            0.006205,            0.006205,            0.006205
                  48,            0.022299,           0.0077624,             0.03049,             0.65179,             0.85299,             0.76473,             0.61594,            0.021076,           0.0032234,             0.02994,           0.0061225,           0.0061225,           0.0061225
                  49,            0.022571,            0.007918,            0.028653,             0.63502,             0.85414,             0.78499,             0.63485,            0.020859,           0.0031537,            0.026503,             0.00604,             0.00604,             0.00604
                  50,            0.021588,           0.0076328,            0.028057,             0.66055,             0.84839,             0.78758,             0.62504,            0.021608,            0.003334,            0.027677,           0.0059575,           0.0059575,           0.0059575
                  51,             0.02184,           0.0077244,            0.027814,             0.68041,             0.83686,             0.78406,             0.63769,            0.020824,            0.003245,            0.029356,            0.005875,            0.005875,            0.005875
                  52,            0.021464,           0.0076862,            0.028248,             0.65354,             0.83429,             0.80711,             0.63839,            0.021362,           0.0031739,            0.026198,           0.0057925,           0.0057925,           0.0057925
                  53,            0.022251,           0.0078626,            0.026504,             0.67649,             0.85342,             0.81509,             0.66402,            0.020791,           0.0033093,            0.027287,             0.00571,             0.00571,             0.00571
                  54,            0.021256,           0.0076381,            0.027284,             0.70459,             0.86781,             0.82286,             0.65361,            0.021286,           0.0033115,            0.026409,           0.0056275,           0.0056275,           0.0056275
                  55,            0.022555,           0.0073862,            0.026964,             0.66656,             0.85714,             0.82181,             0.64619,             0.02207,           0.0032579,            0.026822,            0.005545,            0.005545,            0.005545
                  56,            0.021701,           0.0074109,            0.026434,             0.68967,             0.84823,             0.83618,              0.6832,            0.020845,           0.0032391,            0.027602,           0.0054625,           0.0054625,           0.0054625
